                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.44283,                 0.3913,                0.90103,                0.93195,                0.95419,                0.98246,                0.87396,                 0.5273,                0.41441,                0.88935,             0.00054478,             0.00054478,             0.00054478
                     36,                0.43386,                0.38057,                 0.8898,                0.91855,                0.93942,                0.97681,                0.88269,                0.48589,                0.46908,                0.86679,             0.00051177,             0.00051177,             0.00051177
                     37,                0.41383,                0.37949,                0.88625,                0.97097,                0.96363,                0.98729,                0.89773,                0.47479,                0.37178,                0.86601,             0.00047876,             0.00047876,             0.00047876
                     38,                  0.414,                0.36301,                  0.891,                0.94261,                0.97676,                0.98323,                0.89192,                0.46334,                 0.3792,                0.86007,             0.00044576,             0.00044576,             0.00044576
                     39,                0.41893,                0.36306,                0.88567,                0.96503,                 0.9819,                0.98996,                0.89564,                0.46719,                0.32832,                0.85507,             0.00041275,             0.00041275,             0.00041275
                     40,                0.40504,                0.31745,                0.87519,                0.97351,                0.95479,                0.99057,                0.88971,                0.50029,                0.36991,                0.88278,             0.00037974,             0.00037974,             0.00037974
                     41,                0.40164,                0.29263,                0.86359,                0.96874,                0.97491,                0.98789,                0.89377,                0.46174,                0.34731,                0.86821,             0.00034674,             0.00034674,             0.00034674
                     42,                0.37977,                0.28598,                0.85526,                0.98673,                 0.9683,                0.99215,                0.91021,                0.47041,                0.31614,                0.86285,             0.00031373,             0.00031373,             0.00031373
                     43,                0.39763,                0.31137,                0.86543,                0.98558,                0.95222,                0.98946,                0.89839,                0.48313,                0.35515,                0.87373,             0.00028072,             0.00028072,             0.00028072
                     44,                0.37127,                0.27197,                0.85181,                 0.9639,                0.97341,                0.98806,                0.90102,                0.47501,                0.33694,                0.87021,             0.00024772,             0.00024772,             0.00024772
                     45,                0.37328,                0.28219,                0.86315,                0.96525,                0.97583,                0.98995,                0.89932,                0.46363,                0.32481,                0.86604,             0.00021471,             0.00021471,             0.00021471
                     46,                0.37147,                0.28413,                0.85536,                0.98411,                0.97731,                0.99242,                0.90759,                0.45254,                0.29962,                 0.8644,              0.0001817,              0.0001817,              0.0001817
                     47,                0.35774,                0.26512,                0.84763,                0.97843,                 0.9825,                0.99283,                0.90722,                0.45273,                0.29338,                0.86561,              0.0001487,              0.0001487,              0.0001487
                     48,                0.35393,                0.25061,                0.85095,                0.97483,                0.97982,                0.99248,                0.91146,                0.44021,                0.29364,                 0.8637,             0.00011569,             0.00011569,             0.00011569
                     49,                0.34539,                0.25006,                0.84667,                0.98103,                0.98907,                0.99344,                0.91742,                0.43646,                0.27976,                0.85887,             8.2683e-05,             8.2683e-05,             8.2683e-05
