                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.321,                 1.3035,                  1.271,                0.96037,                   0.98,                0.98079,                0.80479,                0.70298,                0.47251,                 0.9193,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3088,                  1.321,                 1.2766,                0.94442,                0.93839,                0.97283,                0.79117,                0.75421,                0.52074,                0.94115,               0.000948,               0.000948,               0.000948
                     36,                 1.3016,                 1.3003,                 1.2703,                0.92057,                0.96274,                0.98178,                0.81353,                0.73183,                0.54016,                0.91651,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2694,                 1.2831,                 1.2435,                0.96783,                   0.98,                0.97881,                0.80811,                0.74618,                 0.4637,                0.93432,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.3078,                 1.2939,                 1.2604,                0.94634,                0.94956,                0.97809,                0.79758,                0.77261,                0.48774,                0.94999,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2993,                 1.3188,                 1.2655,                0.93408,                0.96811,                 0.9718,                0.80179,                0.72727,                0.49025,                0.91936,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2705,                  1.249,                  1.245,                0.96221,                0.97167,                 0.9875,                 0.8142,                0.72122,                0.42783,                0.93378,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2676,                 1.2558,                 1.2438,                0.95542,                0.97167,                0.98153,                0.81007,                0.71421,                0.44393,                0.93194,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.2672,                 1.2639,                 1.2427,                0.96528,                0.97487,                0.98319,                0.81379,                0.67795,                0.44744,                0.89781,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2745,                  1.259,                 1.2372,                0.97106,                   0.98,                0.98552,                0.81722,                0.71916,                0.42661,                0.93039,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.2894,                 1.2781,                 1.2519,                0.95841,                0.96883,                  0.987,                0.81027,                 0.7152,                0.43078,                0.92694,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.2664,                 1.2355,                 1.2354,                0.97547,                0.97167,                0.98905,                0.79908,                0.74879,                0.44665,                0.94166,             0.00080653,             0.00080653,             0.00080653
                     46,                  1.264,                 1.2328,                 1.2413,                 0.9468,                0.96333,                0.98663,                0.82469,                0.71017,                0.44544,                0.92768,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.2605,                 1.2298,                 1.2362,                0.95813,                0.95333,                0.98619,                0.81205,                0.73789,                0.42951,                 0.9226,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.2698,                 1.2201,                 1.2296,                0.96779,                0.96615,                0.97767,                0.81894,                0.69862,                0.42922,                0.90528,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.2664,                 1.2371,                 1.2391,                0.95676,                   0.98,                0.98308,                0.81865,                0.70123,                0.41371,                0.92055,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.2397,                  1.188,                 1.2172,                0.95059,                0.96222,                0.98094,                0.79853,                 0.7746,                0.44899,                0.94071,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2163,                 1.1816,                 1.2066,                0.96586,                 0.9762,                0.98994,                0.83614,                0.66205,                0.40557,                0.89549,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.2352,                 1.2047,                 1.2247,                0.97728,                0.95333,                0.99062,                0.83825,                0.69005,                0.39471,                0.90803,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.2083,                 1.1744,                 1.2034,                0.94966,                0.97831,                0.99081,                0.83736,                0.66236,                0.39092,                0.90834,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.2231,                 1.1733,                 1.2083,                0.96813,                   0.98,                0.98682,                0.84005,                0.65273,                0.37877,                0.89082,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.2105,                 1.1644,                 1.2065,                0.95835,                0.97252,                0.99281,                0.82877,                0.67996,                 0.3899,                0.89881,             0.00066506,             0.00066506,             0.00066506
